state,value
Aguascalientes,3
Baja California,63
Baja California Sur,13
Campeche,40
Chiapas,133
Chihuahua,-51
Ciudad de Mexico,20
Coahuila,-53
Colima,371
Durango,-87
Guanajuato,974
Guerrero,-7
Hidalgo,182
Jalisco,84
Mexico,31
Michoacan,204
Morelos,81
Nayarit,-70
Nuevo Leon,-22
Oaxaca,10
Puebla,141
Queretaro,137
Quintana Roo,209
San Luis Potosi,101
Sinaloa,-67
Sonora,94
Tabasco,182
Tamaulipas,-21
Tlaxcala,135
Veracruz,142
Yucatan,78
Zacatecas,699
